product_id,name,date,quantity,price
P001,Laptop Pro,2026-01-02,1,1200.00
P002,Wireless Mouse,2026-01-02,3,25.00
P003,Office Chair,2026-01-03,1,350.00
P004,Monitor 27 inch,2026-01-03,2,400.00
P001,Laptop Pro,2026-01-04,1,1200.00
P005,Keyboard,2026-01-04,2,75.00
P006,Webcam HD,2026-01-05,1,80.00
P007,Standing Desk,2026-01-05,1,550.00
P002,Wireless Mouse,2026-01-06,5,25.00
P003,Office Chair,2026-01-06,2,350.00
P008,Desk Lamp,2026-01-07,3,45.00
P001,Laptop Pro,2026-01-07,2,1200.00
P004,Monitor 27 inch,2026-01-08,1,400.00
P005,Keyboard,2026-01-08,4,75.00
P009,USB Hub,2026-01-09,2,35.00
P006,Webcam HD,2026-01-09,3,80.00
P002,Wireless Mouse,2026-01-10,2,25.00
P010,Headphones,2026-01-10,1,150.00
P003,Office Chair,2026-01-11,1,350.00
P007,Standing Desk,2026-01-11,1,550.00
P001,Laptop Pro,2026-01-12,1,1200.00
P008,Desk Lamp,2026-01-12,2,45.00
P004,Monitor 27 inch,2026-01-13,2,400.00
P009,USB Hub,2026-01-13,3,35.00
P005,Keyboard,2026-01-14,1,75.00
P010,Headphones,2026-01-14,2,150.00
P002,Wireless Mouse,2026-01-15,4,25.00
P006,Webcam HD,2026-01-15,2,80.00
P001,Laptop Pro,2026-01-16,1,1200.00
P003,Office Chair,2026-01-16,1,350.00
P007,Standing Desk,2026-01-17,2,550.00
P008,Desk Lamp,2026-01-17,1,45.00
P004,Monitor 27 inch,2026-01-18,1,400.00
P009,USB Hub,2026-01-18,2,35.00
P005,Keyboard,2026-01-19,3,75.00
P010,Headphones,2026-01-19,1,150.00
P002,Wireless Mouse,2026-01-20,2,25.00
P001,Laptop Pro,2026-01-20,1,1200.00
P006,Webcam HD,2026-01-21,1,80.00
P003,Office Chair,2026-01-21,2,350.00
P007,Standing Desk,2026-01-22,1,550.00
P008,Desk Lamp,2026-01-22,4,45.00
P004,Monitor 27 inch,2026-01-23,1,400.00
P009,USB Hub,2026-01-23,1,35.00
P005,Keyboard,2026-01-24,2,75.00
P010,Headphones,2026-01-24,1,150.00
P001,Laptop Pro,2026-01-25,2,1200.00
P002,Wireless Mouse,2026-01-25,3,25.00
P006,Webcam HD,2026-01-26,2,80.00
P003,Office Chair,2026-01-26,1,350.00
P007,Standing Desk,2026-01-27,1,550.00
P008,Desk Lamp,2026-01-27,2,45.00
P004,Monitor 27 inch,2026-01-28,2,400.00
P009,USB Hub,2026-01-28,3,35.00
P005,Keyboard,2026-01-29,1,75.00
P010,Headphones,2026-01-29,2,150.00
P001,Laptop Pro,2026-01-30,1,1200.00
P002,Wireless Mouse,2026-01-30,2,25.00
P003,Office Chair,2026-01-31,1,350.00
P006,Webcam HD,2026-01-31,1,80.00
